Week,United States Dollar: (Turkey)
1/31/2016,3
2/7/2016,3
2/14/2016,3
2/21/2016,3
2/28/2016,3
3/6/2016,3
3/13/2016,3
3/20/2016,3
3/27/2016,3
4/3/2016,3
4/10/2016,3
4/17/2016,3
4/24/2016,3
5/1/2016,5
5/8/2016,4
5/15/2016,4
5/22/2016,4
5/29/2016,3
6/5/2016,3
6/12/2016,3
6/19/2016,4
6/26/2016,3
7/3/2016,3
7/10/2016,5
7/17/2016,6
7/24/2016,4
7/31/2016,3
8/7/2016,3
8/14/2016,3
8/21/2016,3
8/28/2016,3
9/4/2016,3
9/11/2016,2
9/18/2016,2
9/25/2016,3
10/2/2016,3
10/9/2016,3
10/16/2016,3
10/23/2016,3
10/30/2016,3
11/6/2016,6
11/13/2016,6
11/20/2016,7
11/27/2016,8
12/4/2016,12
12/11/2016,7
12/18/2016,4
12/25/2016,4
1/1/2017,5
1/8/2017,13
1/15/2017,8
1/22/2017,7
1/29/2017,7
2/5/2017,7
2/12/2017,6
2/19/2017,6
2/26/2017,6
3/5/2017,6
3/12/2017,6
3/19/2017,5
3/26/2017,5
4/2/2017,5
4/9/2017,5
4/16/2017,7
4/23/2017,7
4/30/2017,5
5/7/2017,5
5/14/2017,5
5/21/2017,4
5/28/2017,4
6/4/2017,4
6/11/2017,4
6/18/2017,4
6/25/2017,4
7/2/2017,5
7/9/2017,5
7/16/2017,4
7/23/2017,4
7/30/2017,4
8/6/2017,3
8/13/2017,3
8/20/2017,4
8/27/2017,4
9/3/2017,5
9/10/2017,5
9/17/2017,5
9/24/2017,5
10/1/2017,5
10/8/2017,9
10/15/2017,5
10/22/2017,8
10/29/2017,7
11/5/2017,7
11/12/2017,6
11/19/2017,8
11/26/2017,7
12/3/2017,6
12/10/2017,6
12/17/2017,5
12/24/2017,5
12/31/2017,5
1/7/2018,5
1/14/2018,5
1/21/2018,5
1/28/2018,5
2/4/2018,5
2/11/2018,5
2/18/2018,4
2/25/2018,4
3/4/2018,4
3/11/2018,5
3/18/2018,7
3/25/2018,7
4/1/2018,6
4/8/2018,8
4/15/2018,7
4/22/2018,5
4/29/2018,7
5/6/2018,8
5/13/2018,11
5/20/2018,28
5/27/2018,14
6/3/2018,10
6/10/2018,10
6/17/2018,10
6/24/2018,14
7/1/2018,10
7/8/2018,18
7/15/2018,11
7/22/2018,11
7/29/2018,18
8/5/2018,71
8/12/2018,100
8/19/2018,28
8/26/2018,33
9/2/2018,27
9/9/2018,26
9/16/2018,22
9/23/2018,24
9/30/2018,21
10/7/2018,22
10/14/2018,31
10/21/2018,19
10/28/2018,19
11/4/2018,18
11/11/2018,14
11/18/2018,12
11/25/2018,13
12/2/2018,15
12/9/2018,11
12/16/2018,10
12/23/2018,9
12/30/2018,13
1/6/2019,13
1/13/2019,12
1/20/2019,10
1/27/2019,12
2/3/2019,11
2/10/2019,9
2/17/2019,10
2/24/2019,9
3/3/2019,13
3/10/2019,12
3/17/2019,19
3/24/2019,30
3/31/2019,23
4/7/2019,22
4/14/2019,21
4/21/2019,22
4/28/2019,18
5/5/2019,32
5/12/2019,22
5/19/2019,16
5/26/2019,17
6/2/2019,16
6/9/2019,17
6/16/2019,16
6/23/2019,19
6/30/2019,20
7/7/2019,19
7/14/2019,17
7/21/2019,17
7/28/2019,18
8/4/2019,17
8/11/2019,15
8/18/2019,18
8/25/2019,22
9/1/2019,16
9/8/2019,16
9/15/2019,14
9/22/2019,12
9/29/2019,11
10/6/2019,24
10/13/2019,23
10/20/2019,16
10/27/2019,12
11/3/2019,11
11/10/2019,10
11/17/2019,9
11/24/2019,9
12/1/2019,9
12/8/2019,10
12/15/2019,15
12/22/2019,11
12/29/2019,10
1/5/2020,12
1/12/2020,9
1/19/2020,9
1/26/2020,9
2/2/2020,9
2/9/2020,11
2/16/2020,11
2/23/2020,14
3/1/2020,14
3/8/2020,15
3/15/2020,18
3/22/2020,13
3/29/2020,13
4/5/2020,12
4/12/2020,14
4/19/2020,13
4/26/2020,12
5/3/2020,18
5/10/2020,15
5/17/2020,14
5/24/2020,11
5/31/2020,12
6/7/2020,11
6/14/2020,9
6/21/2020,9
6/28/2020,8
7/5/2020,8
7/12/2020,8
7/19/2020,8
7/26/2020,15
8/2/2020,24
8/9/2020,21
8/16/2020,20
8/23/2020,14
8/30/2020,13
9/6/2020,12
9/13/2020,13
9/20/2020,16
9/27/2020,18
10/4/2020,17
10/11/2020,15
10/18/2020,15
10/25/2020,27
11/1/2020,27
11/8/2020,57
11/15/2020,29
11/22/2020,23
11/29/2020,16
12/6/2020,14
12/13/2020,14
12/20/2020,14
12/27/2020,16
1/3/2021,17
1/10/2021,14
1/17/2021,12
1/24/2021,12
1/31/2021,18
